Id_Basol	Extracted_institution	BASOL_institution	Basias_institution
43.0004	{'Brioude', 'La société SPEICHIM'}	{'Ancienne usine SPEICHIM'}	{'SECI. SPEICHIM. Entreprise BARBET. Entreprise CHATILLON'}
63.0059	{'les établissements COUZON', 'la DREAL', 'DUROL'}	{'COUZON (ex DUROL Industries) Thiers'}	{'DUROL SA'}
03.0057	{'la société des produits chimiques Péchiney Saint - Gobain'}	{'PECHINEY SAINT-GOBAIN'}	{'Sté PECHINEY - St. GOBAIN. Sté St. GOBAIN, CHAUNY et CIREY'}
43.0007	{"le Ministère de l' Environnement", 'GDF', 'La société ENGIE', 'Gaz de France'}	{'Ancienne usine à gaz de BRIOUDE'}	{"GDF (Gaz de France), Cie électrique de Clermont, Sté.hydorélectrique d'Auvergne, Entreprise Cabassut pitavy"}
03.0045	{'Les anciens Ets BOURBON', 'Ets BOURBON', 'Les Ets BOURBON', 'la DREAL'}	{'Ancien établissements BOURBON'}	{'Sté Nouvelle des Ets. BOURBON'}
03.0044	{'groupe suédois ASSA   ABLOY', 'ASSA ABLOY', 'la DREAL', 'les établissements JPM', 'Préfet', 'la société JPM SAS', 'JPM', 'la société Emile CHAUVAT', 'le HCSP', 'Sté JPM', 'la société MANITOWOC', 'la société JPM', 'La société JPM', 'le Haut Conseil de la Santé Publique'}	{'JPM'}	{'SA JPM CHAUVAT. Ets. CHAUVAT et SOFRANQ REUNIS. Ets. CHAUVAT'}
03.0036	{'la société RHONE - ALPES Flexibles', 'la société Protection', 'la SCI PROFUTURA', 'la société SICLI', 'La société SICLI', 'SFEME - SICLI', 'la Sté SICLI', 'la SFEME', 'Pierre BILGER', 'SFEME(entreprise', 'la DRIRE', 'préfet', 'la Générale Incendie'}	{'SICLI (ex SFEME)'}	{"SFEME (Sté de Fabrication et d'Entretien Electrique)"}
63.0001	{"le Ministère de l' Environnement", 'EDF GDF Services', 'la DRIRE', 'Gaz de France'}	{'Centre EDF GDF SERVICES'}	{'YSOFINE'}
03.0007	{'la Sarl Combustibles BOURIN', 'Antéa', 'La Société Ateliers Mécaniques et Industries Spéciales', 'La DRIRE', 'les Ets DEMARAIS Fréres', 'la société BOURIN', 'la société AMIS'}	{'ancien dépôt BOURIN( AMIS )'}	{'Sté A.M.I.S. Sté des FORGES DE COURCELLES'}
43.0015	{'la préfecture de la Haute', 'la société MULTISAC', 'La société MULTISAC', 'la famille GRANGETTE', 'monsieur de Froment'}	{'MULTISAC'}	{'MULTISAC'}
03.0009	set()	{'DUNLOP - Site de production'}	{'S.A des PNEUMATQUES DUNLOP. nd'}
15.0005	{'la société UNIVAR', 'la Sté UNIVAR', ', la Sté UNIVAR'}	{'UNIVAR (ex:Lambert-Rivière)'}	{'S.A LAMBERT-RIVIERE'}
